NAME,pct_employed_AFFH,pct_poverty,pct_computers,pct_internet,pct_renters,pct_homeowners
Alabama,0.9298759193556319,15.5048936867674,94.59816869725012,89.53929843118236,26.98090482569226,73.01909517430775
Alaska,1.6986047588722284,10.248323292592316,97.39788768006011,93.20972938609799,29.41937024135858,70.58062975864142
Arizona,0.7468635708791905,12.422899322642113,96.95395343813273,92.45087914953281,30.224066549106798,69.7759334508932
Arkansas,1.8545295666972728,15.587488080146198,94.98520120921005,88.46935324133669,30.77856120957982,69.22143879042018
California,1.9043110564460242,11.9672308168007,97.19604263298135,94.30795274914641,41.497833777970826,58.502166222029174
Colorado,1.1784773521794947,9.287061535203764,97.65284703744778,94.60305131944219,30.338915778603592,69.66108422139641
Connecticut,0.5097326345120414,10.272033376763943,95.8114138280171,92.75764067003519,29.622808280309794,70.37719171969022
Delaware,0.7050952850222771,10.490730359313176,96.65378790820486,92.8384557138974,23.809066163713922,76.19093383628608
District of Columbia,0.05632355155032522,14.106138496462309,96.41709967640054,92.13351540160096,55.03204611351944,44.96795388648056
Florida,0.7688053380821055,12.278983307025378,97.11395942318892,93.0005480459163,30.73011823979634,69.26988176020366
Georgia,0.90534950175384,13.534391231277315,96.36908459429542,92.48574384755398,30.823970033938096,69.1760299660619
Hawaii,1.1444443612568973,10.136282448244954,96.83679626157627,92.72926798650734,34.008220980894045,65.99177901910596
Idaho,3.333087680061178,10.07897039440894,97.20693248086585,92.92554729394308,24.716954444601605,75.2830455553984
Illinois,0.9411246095434916,11.606065742198302,95.93541128013239,91.77412128831965,27.91826371719861,72.08173628280139
Indiana,1.04961871499721,12.269638779658425,95.16788565458907,90.94937313081762,25.41768805197196,74.58231194802804
Iowa,3.4828445003264266,11.238572935204683,95.54247059061069,90.15938015753308,23.904654733322094,76.09534526667791
Kansas,2.8045612019006585,11.15365632342046,95.77452580911186,91.71424003231398,28.69165163793926,71.30834836206074
Kentucky,1.2257391311019616,16.25801702952985,94.6648769990122,90.16439874126229,28.131333073161773,71.86866692683823
Louisiana,0.91853611292061,18.850377141651787,94.41855265920177,88.07807341125407,29.402734897140252,70.59726510285975
Maine,2.316907967149268,10.316206414791475,95.96192083884529,92.0351899494388,22.208267704525653,77.79173229547435
Maryland,0.42501192851158476,9.438359536042826,97.01570208599351,93.013420890966,28.501526619859458,71.49847338014054
Massachusetts,0.3502779503879,10.415416022583415,96.33678735758576,93.94598469680655,32.84089995970321,67.15910004029679
Michigan,1.0401623720686535,13.46204079401319,95.82604741359688,91.69472095708441,22.388081497441494,77.61191850255851
Minnesota,1.9141035061935756,9.226527513370591,96.40394773659462,92.3714571375924,22.776105914780175,77.22389408521983
Mississippi,1.4294184549389795,17.991259197801565,93.80302190007518,86.64446000701173,25.954414698864202,74.0455853011358
Missouri,1.532746186530353,11.919574022743598,95.56635427151502,90.93421628614493,26.94634646629745,73.05365353370256
Montana,4.267815609596495,11.677345560735507,95.0036691078041,91.21803805298319,26.786175917862217,73.21382408213778
Nebraska,4.304040386576995,10.40506834228906,96.0885356767224,92.21970746955265,28.261172547708696,71.7388274522913
Nevada,0.4656983515858734,11.811513037326765,97.59089071883791,94.08958221910125,37.63327116599447,62.36672883400553
New Hampshire,0.43022854994046006,7.150685580736796,96.70180318283104,94.11195572201942,22.884321290358944,77.11567870964106
New Jersey,0.3003235813148247,9.686238371898071,96.47188025741164,94.14880553868537,32.556672732353825,67.44332726764617
New Mexico,1.7463885107685164,17.65666511228993,94.52578860118143,88.79158981064232,27.834992718344797,72.1650072816552
New York,0.4517382234803259,14.121653643515542,95.40822461314231,92.13666276233096,41.43032054574041,58.56967945425959
North Carolina,0.8638764577508926,12.744616958448212,95.9933243319722,91.68605692803168,30.596799567705947,69.40320043229406
North Dakota,5.222817790306926,9.792630433500758,95.3623479925102,89.13384941681778,28.83640642548321,71.1635935745168
Ohio,0.7450768926752835,13.271030094788921,95.0813747925949,91.30687129891572,28.869200407809913,71.13079959219009
Oklahoma,1.5293227532355638,15.821933384984831,95.59815116055893,90.2745885262459,31.215181290995293,68.78481870900471
Oregon,2.744970863078613,12.164934354485776,96.99118175851146,93.41143232213692,32.583711400556126,67.41628859944387
Pennsylvania,0.9012172010329358,11.916272241359675,94.54696462892423,91.20842175804894,26.122267712724117,73.87773228727588
Rhode Island,0.6903180393824297,10.883886919513447,95.79598180098202,92.91905040767602,30.658282321535417,69.34171767846459
South Carolina,0.8710944686315794,13.833976828011563,95.36926703135784,90.98287071922958,25.26242452929989,74.73757547070011
South Dakota,5.966596202555753,11.825119374382645,95.42581209269889,91.87392189856799,26.0057967171746,73.9942032828254
Tennessee,0.7764595836649799,13.982965257204416,95.10827467287086,91.11789801143975,30.20585794097413,69.79414205902586
Texas,0.7796668011231639,13.568901513594295,96.90460004733299,92.57031013765197,32.6629820379004,67.3370179620996
Utah,0.8005983868582416,9.035502511283989,98.2261768033498,94.22554644563036,25.81684623597556,74.18315376402444
Vermont,2.3135079478932874,9.681498050991921,95.93007453185129,92.33902693732745,21.50169653957729,78.49830346042272
Virginia,0.5922417786012043,10.179972861197356,96.00889889410375,92.22945510437391,29.059356129027798,70.9406438709722
Washington,2.2898010110235005,10.320393759653538,97.49876260171253,94.26472745798891,32.44621467451319,67.55378532548681
West Virginia,0.580347416166538,16.5854582636659,92.05076622685048,87.0741914141713,23.188997925412433,76.81100207458756
Wisconsin,1.8341708296104309,10.672530417494613,95.59854604556371,91.82348983526204,26.883628367238586,73.11637163276141
